URL,type,periodOfReport,notSubjectToSection16,issuerTradingSymbol,m_isDirector,m_isOfficer,m_isTenPercentOwner,m_isOther,transactionCode,equitySwapInvolved,transactionTimeliness,transactionShares,sharesOwnedFollowingTransaction,directOrIndirectOwnership,init_prices,end_dates,end_prices,sharesBeforeTransaction,percentVolumeChange,percentPriceChange
https://www.sec.gov/Archives/edgar/data/1213269/000002319716000083,4,2016-10-14,0,CMTL,1,0,0,0,S,0,O,-3000.0,7375.0,D,10.75,2017-10-16 00:00:00,21.835,10375.0,-28.915662650602407,103.11627906976746
https://www.sec.gov/Archives/edgar/data/1616707/000161670717000441,4,2017-07-10,0,W,1,1,1,0,S,0,O,-5167.0,80969.0,D,73.72,2018-07-10 00:00:00,120.7,86136.0,-5.998653292467726,63.72761801410744
https://www.sec.gov/Archives/edgar/data/1073397/000088398408000090,4,2008-11-24,0,ICUI,1,1,0,1,S,0,O,-27000.0,765854.0,D,28.47,2009-11-24 00:00:00,33.63,792854.0,-3.4054189043632244,18.12434141201265
https://www.sec.gov/Archives/edgar/data/1373151/000112760212001754,4,2012-01-12,0,VAR,0,1,0,0,S,0,O,-13333.0,9626.0,D,59.7209,2013-01-11 00:00:00,62.1198,22959.0,-58.07308680691668,4.016851721926491
https://www.sec.gov/Archives/edgar/data/1021462/000110465916112544,4/A,2015-11-30,0,ASGN,1,1,0,0,F,0,O,-17082.0,323995.0,D,46.68,2016-11-29 00:00:00,41.81,341077.0,-5.008253268323575,-10.432733504712932
https://www.sec.gov/Archives/edgar/data/1058290/000120919119041104,4,2019-07-01,0,CTSH,0,1,0,0,M,0,O,9370.0,9370.0,D,64.28,2020-06-30 00:00:00,56.82,0.0,inf,-11.605476042314873
https://www.sec.gov/Archives/edgar/data/1275187/000114036115030136,4,2015-08-05,0,ANGO,1,0,0,0,F,0,O,-5795.0,44616.0,D,15.81,2016-08-04 00:00:00,15.28,50411.0,-11.495506933010653,-3.3523086654016514
https://www.sec.gov/Archives/edgar/data/1077428/000107742821000089,4,2021-07-16,0,TCBI,0,1,0,0,F,0,O,-157.0,66129.0,D,61.92,2022-07-18 00:00:00,54.51,66286.0,-0.2368524273602268,-11.967054263565895
https://www.sec.gov/Archives/edgar/data/1326801/000112760218008251,4,2018-02-21,0,FB,1,1,1,0,S,0,O,-29139.0,98361.0,I,177.91,2019-02-21 00:00:00,160.04,127500.0,-22.854117647058825,-10.044404474172335
https://www.sec.gov/Archives/edgar/data/1220007/000120919116091443,4,2016-01-12,0,ENS,1,0,0,0,A,0,O,399.0,42846.5965,D,54.49,2017-01-11 00:00:00,79.56,42447.5965,0.9399825500131674,46.00844191594788
https://www.sec.gov/Archives/edgar/data/1260221/000120919122019315,4,2022-03-15,0,TDG,1,0,0,0,S,0,O,-761.0,30075.513,I,646.03,2023-03-15 00:00:00,697.13,30836.513,-2.467853612371801,7.909849387799331
https://www.sec.gov/Archives/edgar/data/1236641/000032018713000104,4,2013-07-19,0,NKE,1,1,0,0,M,0,O,120000.0,796535.0,D,31.675,2014-07-21 00:00:00,38.41,676535.0,17.737441521872483,21.262825572217825
https://www.sec.gov/Archives/edgar/data/1195047/000114036113025780,4,2013-06-17,0,DK,1,0,0,0,S,0,O,-800.0,34700.0,D,31.85,2014-06-17 00:00:00,31.17,35500.0,-2.2535211267605635,-2.1350078492935625
https://www.sec.gov/Archives/edgar/data/1260270/000118143112014914,4,2012-03-02,0,STAA,0,1,0,0,S,0,O,-100.0,8400.0,D,11.0,2013-03-04 00:00:00,5.34,8500.0,-1.1764705882352942,-51.45454545454545
https://www.sec.gov/Archives/edgar/data/1274494/000112760211024228,4,2011-08-24,0,FSLR,0,1,0,0,P,0,O,1000.0,1000.0,D,95.79,2012-08-23 00:00:00,24.61,0.0,inf,-74.30838292097296
https://www.sec.gov/Archives/edgar/data/1047340/000104734022000270,4,2022-09-09,0,FDP,0,1,0,0,P,0,O,0.012,1.0176,D,25.64,2023-09-11 00:00:00,25.04,1.0056,1.1933174224343674,-2.3400936037441555
https://www.sec.gov/Archives/edgar/data/1172222/000110465910063604,4,2010-12-16,0,HA,0,1,0,0,M,0,O,9300.0,9300.0,D,8.13,2011-12-16 00:00:00,6.41,0.0,inf,-21.156211562115622
https://www.sec.gov/Archives/edgar/data/1467343/000120919118005072,4,2018-01-22,0,PPL,0,1,0,0,M,0,O,13762.221,37324.43,D,31.49,2019-01-22 00:00:00,29.88,23562.209000000003,58.408025325639024,-5.112734201333756
https://www.sec.gov/Archives/edgar/data/1173514/000112760219010700,4,2019-03-07,0,HY,0,0,0,1,P,0,O,57.0,27185.0,I,64.79,2020-03-06 00:00:00,44.03,27128.0,0.2101150103214391,-32.041981787312864
https://www.sec.gov/Archives/edgar/data/1108524/000112760213007865,4,2013-02-22,0,CRM,0,1,0,0,S,0,O,-2.0,4086.0,D,42.64,2014-02-24 00:00:00,63.91,4088.0,-0.0489236790606653,49.88273921200749
https://www.sec.gov/Archives/edgar/data/1289490/000117911015004143,4,2015-03-03,0,EXR,1,0,0,0,M,0,O,2430.0,126830.0,D,66.23,2016-03-02 00:00:00,86.29,124400.0,1.9533762057877813,30.288388947606823
https://www.sec.gov/Archives/edgar/data/1027718/000009238014000026,4,2014-04-29,0,LUV,0,1,0,0,S,0,O,-1485.0,374878.0,D,24.19,2015-04-29 00:00:00,40.95,376363.0,-0.3945658845316888,69.28482844150476
https://www.sec.gov/Archives/edgar/data/1012771/000126405714000026,4,2014-02-28,0,FFG,1,1,0,0,M,0,O,248.0,248.0,D,41.84,2015-03-02 00:00:00,58.04,0.0,inf,38.71892925430209
https://www.sec.gov/Archives/edgar/data/1579877/000157987715000074,4,2015-04-01,0,OUT,0,1,0,0,M,0,O,257.0,12392.0,D,29.79,2016-03-31 00:00:00,21.1,12135.0,2.117840955912649,-29.1708627056059
https://www.sec.gov/Archives/edgar/data/1202362/000072312509000115,4,2009-10-08,0,MU,0,1,0,1,F,0,O,-5947.0,580785.0,D,8.22,2010-10-08 00:00:00,7.59,586732.0,-1.013580305829578,-7.664233576642345
https://www.sec.gov/Archives/edgar/data/1082554/000112760217025059,4,2017-08-03,0,UTHR,1,1,0,0,S,0,O,-100.0,1069.0,D,126.96,2018-08-03 00:00:00,127.07,1169.0,-8.554319931565441,0.0866414618777563
