issuerTradingSymbol,date,close
UMBF,2022-12-19,78.45
UMBF,2022-12-20,79.76
UMBF,2022-12-21,81.68
UMBF,2022-12-22,81.3
UMBF,2022-12-23,82.17
UMBF,2022-12-27,82.33
UMBF,2022-12-28,82.29
UMBF,2022-12-29,84.08
UMBF,2022-12-30,83.52
UMBF,2023-01-03,82.56
UMBF,2023-01-04,82.21
UMBF,2023-01-05,81.92
UMBF,2023-01-06,84.5
UMBF,2023-01-09,84.25
UMBF,2023-01-10,84.57
UMBF,2023-01-11,85.1
UMBF,2023-01-12,86.65
UMBF,2023-01-13,86.91
UMBF,2023-01-17,85.37
UMBF,2023-01-18,82.66
UMBF,2023-01-19,82.85
UMBF,2023-01-20,85.13
UMBF,2023-01-23,86.57
UMBF,2023-01-24,85.35
UMBF,2023-01-25,87.99
UMBF,2023-01-26,87.71
UMBF,2023-01-27,87.84
UMBF,2023-01-30,88.06
UMBF,2023-01-31,90.19
UMBF,2023-02-01,90.2
UMBF,2023-02-02,91.28
UMBF,2023-02-03,91.16
UMBF,2023-02-06,91.49
UMBF,2023-02-07,91.96
UMBF,2023-02-08,91.51
UMBF,2023-02-09,90.94
UMBF,2023-02-10,90.83
UMBF,2023-02-13,91.77
UMBF,2023-02-14,91.19
UMBF,2023-02-15,91.43
UMBF,2023-02-16,90.76
UMBF,2023-02-17,91.67
UMBF,2023-02-21,90.99
UMBF,2023-02-22,90.79
UMBF,2023-02-23,91.26
UMBF,2023-02-24,91.17
UMBF,2023-02-27,91.06
UMBF,2023-02-28,90.66
UMBF,2023-03-01,89.95
UMBF,2023-03-02,88.03
UMBF,2023-03-03,88.85
UMBF,2023-03-06,88.32
UMBF,2023-03-07,85.81
UMBF,2023-03-08,86.17
UMBF,2023-03-09,79.76
UMBF,2023-03-10,77.09
UMBF,2023-03-13,65.08
UMBF,2023-03-14,64.13
UMBF,2023-03-15,64.5
UMBF,2023-03-16,65.28
UMBF,2023-03-17,58.27
UMBF,2023-03-20,60.46
UMBF,2023-03-21,64.19
UMBF,2023-03-22,60.44
UMBF,2023-03-23,58.68
UMBF,2023-03-24,59.31
UMBF,2023-03-27,59.25
UMBF,2023-03-28,58.88
UMBF,2023-03-29,59.67
UMBF,2023-03-30,58.64
UMBF,2023-03-31,57.72
UMBF,2023-04-03,57.28
UMBF,2023-04-04,57.54
UMBF,2023-04-05,58.19
UMBF,2023-04-06,58.25
UMBF,2023-04-10,58.15
UMBF,2023-04-11,57.71
UMBF,2023-04-12,57.48
UMBF,2023-04-13,59.36
UMBF,2023-04-14,58.19
UMBF,2023-04-17,60.03
UMBF,2023-04-18,58.11
UMBF,2023-04-19,59.78
UMBF,2023-04-20,58.33
UMBF,2023-04-21,58.27
UMBF,2023-04-24,57.93
UMBF,2023-04-25,55.8
UMBF,2023-04-26,61.55
UMBF,2023-04-27,63.18
UMBF,2023-04-28,63.61
UMBF,2023-05-01,60.27
UMBF,2023-05-02,56.09
UMBF,2023-05-03,55.72
UMBF,2023-05-04,54.27
UMBF,2023-05-05,57.88
UMBF,2023-05-08,55.79
UMBF,2023-05-09,56.76
UMBF,2023-05-10,56.33
UMBF,2023-05-11,54.54
UMBF,2023-05-12,54.73
UMBF,2023-05-15,57.18
UMBF,2023-05-16,55.66
UMBF,2023-05-17,59.36
UMBF,2023-05-18,59.92
UMBF,2023-05-19,58.17
UMBF,2023-05-22,59.72
UMBF,2023-05-23,61.33
UMBF,2023-05-24,60.29
UMBF,2023-05-25,59.33
UMBF,2023-05-26,59.62
UMBF,2023-05-30,59.58
UMBF,2023-05-31,56.64
UMBF,2023-06-01,58.76
UMBF,2023-06-02,63.6
UMBF,2023-06-05,62.09
UMBF,2023-06-06,65.47
UMBF,2023-06-07,67.24
UMBF,2023-06-08,66.6
UMBF,2023-06-09,65.75
UMBF,2023-06-12,63.85
UMBF,2023-06-13,66.42
UMBF,2023-06-14,64.29
UMBF,2023-06-15,64.24
UMBF,2023-06-16,63.16
UMBF,2023-06-20,61.28
UMBF,2023-06-21,59.43
UMBF,2023-06-22,57.48
UMBF,2023-06-23,57.4
UMBF,2023-06-26,58.98
UMBF,2023-06-27,61.32
UMBF,2023-06-28,61.31
UMBF,2023-06-29,61.99
UMBF,2023-06-30,60.9
UMBF,2023-07-03,61.93
UMBF,2023-07-05,60.43
UMBF,2023-07-06,59.19
UMBF,2023-07-07,60.14
UMBF,2023-07-10,60.0
UMBF,2023-07-11,61.11
UMBF,2023-07-12,62.8
UMBF,2023-07-13,63.82
UMBF,2023-07-14,62.51
UMBF,2023-07-17,63.94
UMBF,2023-07-18,67.22
UMBF,2023-07-19,70.17
UMBF,2023-07-20,68.73
UMBF,2023-07-21,67.05
UMBF,2023-07-24,69.36
UMBF,2023-07-25,68.86
UMBF,2023-07-26,72.52
UMBF,2023-07-27,70.16
UMBF,2023-07-28,70.66
UMBF,2023-07-31,71.0
UMBF,2023-08-01,69.48
UMBF,2023-08-02,69.34
UMBF,2023-08-03,70.69
UMBF,2023-08-04,71.72
UMBF,2023-08-07,72.49
UMBF,2023-08-08,70.65
UMBF,2023-08-09,70.01
UMBF,2023-08-10,69.58
UMBF,2023-08-11,69.27
UMBF,2023-08-14,67.78
UMBF,2023-08-15,65.83
UMBF,2023-08-16,64.95
UMBF,2023-08-17,65.54
UMBF,2023-08-18,65.45
UMBF,2023-08-21,65.29
UMBF,2023-08-22,63.24
UMBF,2023-08-23,63.74
UMBF,2023-08-24,64.4
UMBF,2023-08-25,63.13
UMBF,2023-08-28,63.61
UMBF,2023-08-29,63.96
UMBF,2023-08-30,63.47
UMBF,2023-08-31,63.21
UMBF,2023-09-01,64.6
UMBF,2023-09-05,63.29
UMBF,2023-09-06,61.77
UMBF,2023-09-07,61.13
UMBF,2023-09-08,61.76
UMBF,2023-09-11,61.28
UMBF,2023-09-12,61.87
UMBF,2023-09-13,63.85
UMBF,2023-09-14,64.43
UMBF,2023-09-15,63.27
UMBF,2023-09-18,62.12
UMBF,2023-09-19,61.58
UMBF,2023-09-20,61.32
UMBF,2023-09-21,61.03
UMBF,2023-09-22,61.04
UMBF,2023-09-25,62.84
UMBF,2023-09-26,61.97
UMBF,2023-09-27,61.0
UMBF,2023-09-28,61.53
UMBF,2023-09-29,62.05
UMBF,2023-10-02,60.3
UMBF,2023-10-03,58.65
UMBF,2023-10-04,59.19
UMBF,2023-10-05,61.12
UMBF,2023-10-06,61.73
UMBF,2023-10-09,61.63
UMBF,2023-10-10,63.08
UMBF,2023-10-11,62.98
UMBF,2023-10-12,62.21
UMBF,2023-10-13,61.79
UMBF,2023-10-16,63.48
UMBF,2023-10-17,65.19
UMBF,2023-10-18,63.34
UMBF,2023-10-19,62.44
UMBF,2023-10-20,60.91
UMBF,2023-10-23,61.04
UMBF,2023-10-24,61.33
UMBF,2023-10-25,62.28
UMBF,2023-10-26,63.75
UMBF,2023-10-27,62.09
UMBF,2023-10-30,62.82
UMBF,2023-10-31,62.72
UMBF,2023-11-01,63.49
UMBF,2023-11-02,66.93
UMBF,2023-11-03,69.32
UMBF,2023-11-06,68.35
UMBF,2023-11-07,67.48
UMBF,2023-11-08,67.43
UMBF,2023-11-09,65.92
UMBF,2023-11-10,66.53
UMBF,2023-11-13,66.79
UMBF,2023-11-14,72.19
UMBF,2023-11-15,73.96
